"theme","subtheme","topic","filecode","waves","has_varinfo","varinfo_file"
"Physical","Chronic diseases","Hyperthyroidism","182","C, D",TRUE,"LASA182_varinfo.pdf"
"Physical","Chronic diseases","Intrinsic Capacity",,,FALSE,
"Physical","Chronic diseases","Metabolic syndrome","ch02","C",FALSE,
"Physical","Chronic diseases","Osteoarthritis hip and knee (algorithm) - cohort 1","zoa1","B, C, D, E, F, G, H, I",TRUE,"LASAzoa1_2_3_varinfo.pdf"
"Physical","Chronic diseases","Osteoarthritis hip and knee (algorithm) - cohort 2","zoa2","2B, F, G, H, I",TRUE,"LASAzoa1_2_3_varinfo.pdf"
"Physical","Chronic diseases","Osteoarthritis hip and knee (algorithm) - cohort 3","zoa3","3B, I",TRUE,"LASAzoa1_2_3_varinfo.pdf"
"Physical","Chronic diseases","Parkinson: early P. related signs","096","3B, MB",TRUE,"LASA096_varinfo.pdf"
"Physical","Chronic diseases","Rheumatoid Arthritis (algorithm)",,,FALSE,
"Physical","Chronic diseases","Self-report of chronic diseases","035","B, C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA035_varinfo.pdf"
"Physical","Chronic diseases","Self-report of chronic diseases - longitudinally cleaned","435","B, C",TRUE,"LASA035_varinfo.pdf"
"Physical","Chronic diseases","Self-report of chronic diseases - nr. of diseases reported","235","B, C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA035_varinfo.pdf"
"Physical","Chronic diseases","Self-report of chronic diseases - tel. proxy","602","C, D, E, F, G, H, I, J, K",TRUE,"LASA602_varinfo.pdf"
"Physical","Chronic diseases","Self-report of chronic diseases - tel. respondent","702","C, D, E, F, G, H, I, J, K",TRUE,"LASA702_varinfo.pdf"
"Physical","Falling","Dizziness","187","C, D, 2B, F, G, H, 3B, I, J, K",TRUE,"LASA187_varinfo.pdf"
"Physical","Falling","Falls","187","C, D, 3B, MB, J, K",TRUE,"LASA187_varinfo.pdf"
"Physical","Falling","Falls - tel. proxy","605","C, D",TRUE,"LASA605_varinfo.pdf"
"Physical","Falling","Falls - tel. respondent","705","C, D",TRUE,"LASA705_varinfo.pdf"
"Physical","Falling","Falls: 1y prospective fall calendar (LASA ancillary study)",,"G",FALSE,
"Physical","Falling","Falls: 3y prospective fall calendar (LASA ancillary study)",,"C",FALSE,
"Physical","Falling","Falls: circumstances and consequences","187","D, J, K",TRUE,"LASA187_varinfo.pdf"
"Physical","Falling","Falls: environmental conditions (home)","180","C, D",TRUE,"LASA180_varinfo.pdf"
"Physical","Falling","Falls: fear of falling (FES: Falls Efficacy Scale)","183","C, D",TRUE,"LASA183_varinfo.pdf"
"Physical","Falling","Falls: prevention of fall accidents (LASA ancillary study)",,"D",FALSE,
"Physical","Falling","Foot problems","185","C, D, E, F",TRUE,"LASA185_varinfo.pdf"
"Physical","Falling","Walking aids","187","D, E, 2B, F, G, H, 3B",TRUE,"LASA187_varinfo.pdf"
"Physical","Fertility","Fertility (women)","119","B",TRUE,"LASA119_varinfo.pdf"
"Physical","Fertility","Fertility (women)","181","C, 2B, 3B, MB",TRUE,"LASA181_varinfo.pdf"
"Physical","Fractures","Fractures","186","C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA186_varinfo.pdf"
"Physical","Fractures","Fractures - tel. proxy","605","C, D, E, F, G, H, I, J, K",TRUE,"LASA605_varinfo.pdf"
"Physical","Fractures","Fractures - tel. respondent","705","C, D, E, F, G, H, I, J, K",TRUE,"LASA705_varinfo.pdf"
"Physical","Fractures","Fractures - total waves B-E","ZFF1","B, C, D, E",FALSE,
"Physical","Fractures","Quantitative ultrasound of bone","o31","C, G",FALSE,
"Physical","Fractures","Vertebral deformities","zo22","C, D",FALSE,
"Physical","Frailty","Various definitions (e.g., frailty phenotype, frailty index)",,"B, C, D, E, 2B, F, G, H, 3B, MB, I, J",FALSE,
"Physical","Lifestyle","Accelerometry (LASA ancillary studies) - subsample (St. 1) - subsample (St. 2) - subsample (St. 3) - subsample (St. 4)",,,FALSE,
"Physical","Lifestyle","Alcohol use","153","B, C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA153_varinfo.pdf"
"Physical","Lifestyle","Alcohol use - scaled","353","B, C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA353_varinfo.pdf"
"Physical","Lifestyle","Coffee and tea consumption","801","J, K",TRUE,"LASA801_varinfo.pdf"
"Physical","Lifestyle","Daily Physical Activity","162","J",TRUE,"LASA162_varinfo.pdf"
"Physical","Lifestyle","Diet and food consumption","118","B, C, D, H, I, J, K",TRUE,"LASA118_varinfo.pdf"
"Physical","Lifestyle","Diet and food consumption","184","C, D",TRUE,"LASA184_varinfo.pdf"
"Physical","Lifestyle","Early life physical activity","246","C",TRUE,"LASA246_varinfo.pdf"
"Physical","Lifestyle","MicMac study (LASA ancillary study)",,"I",FALSE,
"Physical","Lifestyle","Oral health","126","I, J, K",TRUE,"LASA126_varinfo.pdf"
"Physical","Lifestyle","Oral health",,"F",FALSE,
"Physical","Lifestyle","Perceived physical activity (LIVAS)","114","B, C, D, E, 2B, F",TRUE,"LASA114_varinfo.pdf"
"Physical","Lifestyle","Perceived physical activity (LIVAS) - scaled","314","B, C, D, E, 2B, F",TRUE,"LASA314_varinfo.pdf"
"Physical","Lifestyle","Physical activity","046","B, C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA046_varinfo.pdf"
"Physical","Lifestyle","Sedentary behavior","101","G, H, 3B, MB, I, J, K",FALSE,
"Physical","Lifestyle","Sedentary behavior - longitudinally cleaned","501","G, H, 3B, MB, I, J, K",FALSE,
"Physical","Lifestyle","Sedentary behavior - scaled","301","G, H, 3B, MB, I, J, K",FALSE,
"Physical","Lifestyle","Smoking","154","B, C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA154_varinfo.pdf"
"Physical","Medication/ supplements","Food supplement use","174","I, J, K",TRUE,"LASA174_varinfo.pdf"
"Physical","Medication/ supplements","Food supplement use - Vitamin D use included","374","I, J, K",TRUE,"LASA374_varinfo.pdf"
"Physical","Medication/ supplements","Medication and food supplement use","152","B, C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA152_varinfo.pdf"
"Physical","Medication/ supplements","Medication and food supplement use - types of medication","352","B, C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA352_varinfo.pdf"
"Physical","Pain","Dealing with pain","188","E",TRUE,"LASA188_varinfo.pdf"
"Physical","Pain","Pain drawing","188","E",TRUE,"LASA188_varinfo.pdf"
"Physical","Pain","Subjective pain","115","B, C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA115_varinfo.pdf"
"Physical","Pain","Subjective pain - scaled","315","B, C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA315_varinfo.pdf"
"Physical","Perception: Hearing","Hearing (self-report)","031","B, C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA031_varinfo.pdf"
"Physical","Perception: Hearing","Hearing (self-report) - tel. proxy","604","C, D, E, F, G, H, I, J, K",TRUE,"LASA604_varinfo.pdf"
"Physical","Perception: Hearing","Hearing (self-report) - tel. respondent","704","C, D, E, F, G, H, I, J, K",TRUE,"LASA704_varinfo.pdf"
"Physical","Perception: Hearing","Hearing (self-report) - total scores","231","B, C, D, E, 2B, F, G, H, 3B, I, J, K",TRUE,"LASA231_varinfo.pdf"
"Physical","Perception: Hearing","Hearing: SNT questionnaire","194","E, F, G, I",TRUE,"LASA194_varinfo.pdf"
"Physical","Perception: Hearing","Hearing: SNT technical measures","193","E, F, G, I",TRUE,"LASA193_varinfo.pdf"
"Physical","Perception: smell","Olfactory function","S00","3B, MB",TRUE,"LASAS00_varinfo.pdf"
"Physical","Perception: smell","Olfactory function","S01","3B, MB",TRUE,"LASAS01_varinfo.pdf"
"Physical","Perception: smell","Olfactory function","S02","3B, MB",TRUE,"LASAS02_varinfo.pdf"
"Physical","Perception: Vision","Vision (self-report)","031","B, C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA031_varinfo.pdf"
"Physical","Perception: Vision","Vision (self-report) - tel. proxy","604","C, D, E, F, G, H, I, J, K",TRUE,"LASA604_varinfo.pdf"
"Physical","Perception: Vision","Vision (self-report) - tel. respondent","704","C, D, E, F, G, H, I, J, K",TRUE,"LASA704_varinfo.pdf"
"Physical","Perception: Vision","Vision (self-report) - total scores","231","B, C, D, E, 2B, F, G, H, 3B, I, J, K",TRUE,"LASA231_varinfo.pdf"
"Physical","Perception: Vision","Vision: contrast sensitivity","157","B, C, D, E, 2B, F",TRUE,"LASA157_varinfo.pdf"
"Physical","Perception: Vision","Visual acuity test","191","E, F, G, H, 3B",TRUE,"LASA191_varinfo.pdf"
"Physical","Perception: Vision","Visual acuity test - Vision-related quality of life","192","E, F, G, H",TRUE,"LASA192_varinfo.pdf"
"Physical","Physical functioning","Funct. limitations (ADL)","030","B, C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA030_varinfo.pdf"
"Physical","Physical functioning","Funct. limitations (ADL) - constructed (sum scores)","230","B, C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA230_varinfo.pdf"
"Physical","Physical functioning","Funct. limitations (ADL) - limitations in joint mobility (medical interview)","183","C, D, E",TRUE,"LASA183_varinfo.pdf"
"Physical","Physical functioning","Funct. limitations (ADL) - tel. proxy","603","C, D, E, F, G, H, I, J, K",TRUE,"LASA603_varinfo.pdf"
"Physical","Physical functioning","Funct. limitations (ADL) - tel. respondent","703","C, D, E, F, G, H, I, J, K",TRUE,"LASA703_varinfo.pdf"
"Physical","Physical functioning","Global Activity Limitations","033","B, C, D, E, 2B, F, G, H, 3B, I, J, K",TRUE,"LASA033_varinfo.pdf"
"Physical","Physical functioning","Global Activity Limitations - tel. respondent","703","C, D, E, F, G, H, I, J, K",TRUE,"LASA703_varinfo.pdf"
"Physical","Physical functioning","Grip strength","161","C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA161_varinfo.pdf"
"Physical","Physical functioning","Partner relationship","139","E, F, G, H, 3B, I, J, K",TRUE,"LASA139_varinfo.pdf"
"Physical","Physical functioning","Peak Flow","158","B, C, D, E, G, H",TRUE,"LASA158_varinfo.pdf"
"Physical","Physical functioning","Physical performance","034","B, C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA034_varinfo.pdf"
"Physical","Physical functioning","Spirometry (post bronchodilator)","168","3B",TRUE,"LASA168_varinfo.pdf"
"Physical","Quality of life","EuroQol","135","E, F, G, H, 3B, I",TRUE,"LASA135_varinfo.pdf"
"Physical","Quality of life","EuroQol - scaled","335","E, F, G, H, 3B, I",TRUE,"LASA335_varinfo.pdf"
"Physical","Quality of life","Qualeffo-41","o80","E",TRUE,"LASAo80_varinfo.pdf"
"Physical","Quality of life","Qualeffo-41 - (non)response","o81","E",TRUE,"LASAo81_varinfo.pdf"
"Physical","Quality of life","Qualeffo-41 - Qualeffo scores","o82","E",TRUE,"LASAo82_varinfo.pdf"
"Physical","Quality of life","Self-rated health","036","B, C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA036_varinfo.pdf"
"Physical","Quality of life","Self-rated health - GHPQ","113","B, C, D, E, 2B, F, G, H, 3B",TRUE,"LASA113_varinfo.pdf"
"Physical","Quality of life","Self-rated health - GHPQ: scaled","313","B, C, D, E, 2B, F, G, H, 3B",TRUE,"LASA313_varinfo.pdf"
"Physical","Quality of life","Self-rated health - tel. proxy","602","C, D, E, F, G, H, I, J, K",TRUE,"LASA602_varinfo.pdf"
"Physical","Quality of life","Self-rated health - tel. respondent","702","C, D, E, F, G, H, I, J, K",TRUE,"LASA702_varinfo.pdf"
"Physical","Quality of life","SF-12 Health Survey","133","D, E, F, G, H, 3B, I, J, K",TRUE,"LASA133_varinfo.pdf"
"Physical","Quality of life","SF-12 Health Survey - scaled","333","D, E, F, G, H, 3B, I, J, K",TRUE,"LASA333_varinfo.pdf"
"Physical","Quality of life","SF-12 Health Survey - scaled (Am.)","533","D, E, F, G, H, 3B, I, J, K",TRUE,"LASA533_varinfo.pdf"
"Physical","Quality of life","WHO Quality of Life","133","I, J, K",TRUE,"LASA133_varinfo.pdf"
"Social","Affiliation","Need for affiliation","078","B, E",TRUE,"LASA078_varinfo.pdf"
"Social","Affiliation","Need for affiliation","141","2B, G",TRUE,"LASA141_varinfo.pdf"
"Social","Affiliation","Need for affiliation - scaled","278","B, E",TRUE,"LASA078_varinfo.pdf"
"Social","Affiliation","Need for affiliation - scaled","341","2B, G",TRUE,"LASA141_varinfo.pdf"
"Social","Housing","House ownership","015","B, C, D, E, 2B, F, G, H, 3B, I, J, K",TRUE,"LASA015_varinfo.pdf"
"Social","Housing","Housing characteristics - tel. proxy","601","C, D, E, F, G, H, I, J, K",TRUE,"LASA601_varinfo.pdf"
"Social","Housing","Housing characteristics - tel. respondent","701","C, D, E, F, G, H, I, J, K",TRUE,"LASA701_varinfo.pdf"
"Social","Housing","Housing characteristics and adaptations","014","B, C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA014_varinfo.pdf"
"Social","Housing","Neighborhood characteristics","015","B, C, D, E, 2B, F, G, H, 3B, I, J, K",TRUE,"LASA015_varinfo.pdf"
"Social","Housing","Neighborhood characteristics","095","K",FALSE,
"Social","Housing","Neighborhood characteristics","z095","B, C, D, E, 2B, F, G, H, 3B, MB, I, J",TRUE,"LASAz095_varinfo.pdf"
"Social","Housing","Neighborhood problems","170","J, K",FALSE,
"Social","Housing","Pets in household","012","B, C, D, E, 2B, F, G, H, 3B, I, J, K",TRUE,"LASA012_varinfo.pdf"
"Social","Housing","Relocation","014","B, C, D, E, 2B, F, G, H, 3B, I, J, K",TRUE,"LASA014_varinfo.pdf"
"Social","Housing","Relocation","015","B, C, D, E, 2B, F, G, H, 3B, I, J, K",TRUE,"LASA015_varinfo.pdf"
"Social","Housing","Relocation - tel. proxy","601","C, D, E, F, G, H, I, J, K",TRUE,"LASA601_varinfo.pdf"
"Social","Housing","Relocation - tel. respondent","701","C, D, E, F, G, H, I, J, K",TRUE,"LASA701_varinfo.pdf"
"Social","Housing","Residence in 1944","013","B",TRUE,"LASA013_varinfo.pdf"
"Social","Loneliness","Existential loneliness","173","J",TRUE,"LASA173_varinfo.pdf"
"Social","Loneliness","Loneliness","073","B, C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA073_varinfo.pdf"
"Social","Loneliness","Loneliness - scaled","273","B, C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA073_varinfo.pdf"
"Social","Loneliness","Loneliness - tel. respondent","712","H, I, J, K",TRUE,"LASA712_varinfo.pdf"
"Social","Partner relationship","Relationship quality","139","E, F, G, H, 3B, I, J, K",TRUE,"LASA139_varinfo.pdf"
"Social","Relationships between generations","Children","048","C, E, 2B, F, 3B, MB, I",TRUE,"LASA048_varinfo.pdf"
"Social","Relationships between generations","Children","248","E, 2B, F, 3B, MB",TRUE,"LASA048_varinfo.pdf"
"Social","Relationships between generations","Filial responsibility expectations","132","D, E, J",TRUE,"LASA132_varinfo.pdf"
"Social","Relationships between generations","Filial responsibility expectations - scaled","332","D, E, J",TRUE,"LASA132_varinfo.pdf"
"Social","Relationships between generations","Grandchildren","049","F",TRUE,"LASA049_varinfo.pdf"
"Social","Relationships between generations","Parental data","140","2B, 3B",TRUE,"LASA140_varinfo.pdf"
"Social","Relationships between generations","Vignettes about help","074","D",TRUE,"LASA074_varinfo.pdf"
"Social","Relationships between generations","Vignettes about help - total scores","274","D",TRUE,"LASA074_varinfo.pdf"
"Social","Social network","Contact network","167","3B, MB, I",TRUE,"LASA167_varinfo.pdf"
"Social","Social network","Personal network","047","B, C, D, E, 2B, F, G, H, 3B, I, J, K",TRUE,"LASA047_varinfo.pdf"
"Social","Social network","Personal network - network size","247","B, C, D, E, 2B, F, G, H, 3B, I, J, K",TRUE,"LASA247_varinfo.pdf"
"Social","Social norms","Donorship","128","I, J",TRUE,"LASA128_varinfo.pdf"
"Social","Social norms","Social desirability","130","C, F",TRUE,"LASA130_varinfo.pdf"
"Social","Social norms","Social desirability - scaled","330","C, F",TRUE,"LASA330_varinfo.pdf"
"Social","Social norms","Social identity","131","D, E",TRUE,"LASA131_varinfo.pdf"
"Social","Social norms","Social identity - scaled","331","D, E",TRUE,"LASA331_varinfo.pdf"
"Social","Social norms","Ties with country of origin","069","MB",TRUE,"LASA069_varinfo.pdf"
"Social","Social norms","Values and norms","122","B, C, D, E, 2B, F, G, H, 3B, I, J, K",TRUE,"LASA122_varinfo.pdf"
"Social","Social participation","Environmental influence","121","B, C, D",TRUE,"LASA121_varinfo.pdf"
"Social","Social participation","Social participation","070","B, C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA070_varinfo.pdf"
"Social","Social participation","Social participation","125","B, C, D, E, 2B, F, G",TRUE,"LASA125_varinfo.pdf"
"Work",,"General Population Job ExposureMatrix (GPJEM)","016","B, C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA016_varinfo.pdf"
"Work",,"Perception of work conditions","106","3B, MB, I, J, K",TRUE,"LASA106_varinfo.pdf"
"Work",,"Work (Employment) and Retirement","016","B, C, D, E, 2B, F, G, H, 3B, MB, I, J, K",TRUE,"LASA016_varinfo.pdf"
"Work",,"Work (Employment) and Retirement - tel. respondent*","713","I, J, K",TRUE,"LASA713_varinfo.pdf"
"Work",,"Work and Retirement characteristics",,,FALSE,
