filecode,wave,variable_name,canonical_name,variable_label,harmonized_var_label,conflicts
021,B,bmemory1,memory1,Problems with memory,Problems with memory,
021,B,bmemory2,memory2,Consulted doctor for memory problems,Consulted doctor for memory problems,
021,B,bmmse01,mmse01,MMSE item01: Year,MMSE item01: Year,
021,B,bmmse02,mmse02,MMSE item02: Season,MMSE item02: Season,
021,B,bmmse03,mmse03,MMSE item03: Date,MMSE item03: Date/day of month,
021,B,bmmse04,mmse04,MMSE item04: Day of the week,MMSE item04: Day of the week,
021,B,bmmse05,mmse05,MMSE item05: Month,MMSE item05: Month,
021,B,bmmse06,mmse06,MMSE item06: Province,MMSE item06: Province/country,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (province), MB (country)"
021,B,bmmse07,mmse07,MMSE item07: Municipality,MMSE item07: Municipality/city/village,
021,B,bmmse08,mmse08,MMSE item08: Two main streets,MMSE item08: Local-area orientation,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (two main streets), MB (district/neighbourhood)"
021,B,bmmse09,mmse09,MMSE item09: Floor,MMSE item09: Floor,
021,B,bmmse10,mmse10,MMSE item10: Address,MMSE item10: Address,
021,B,bmmse11,mmse11,MMSE item11: Three objects,MMSE item11: Three objects,
021,B,bmmse12,mmse12,MMSE item12: subtraction of 7,MMSE item12: Serial subtraction task,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (subtraction of 7), MB (subtraction of 3)"
021,B,bmmse13,mmse13,MMSE item13: Spelling backwards,MMSE item13: Reverse-order verbal task,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (spelling backwards), MB (days in reverse order/spelling backwards)"
021,B,bmmse14,mmse14,MMSE item14: Remembering three objects,MMSE item14: Remembering three objects,
021,B,bmmse15,mmse15,MMSE item15: Watch,MMSE item15: Watch,
021,B,bmmse16,mmse16,MMSE item16: Pencil,MMSE item16: Pencil,
021,B,bmmse17,mmse17,MMSE item17: Remember sentence,MMSE item17: Remember sentence,
021,B,bmmse18,mmse18,MMSE item18: close eyes,MMSE item18: close eyes,
021,B,bmmse19,mmse19,MMSE item19: paper (1): Right hand,MMSE item19: paper (1): Right hand,
021,B,bmmse20,mmse20,MMSE item20: paper (2): Folds,MMSE item20: paper (2): Folds,
021,B,bmmse21,mmse21,MMSE item21: paper (3): In lap,MMSE item21: paper (3): In lap,
021,B,bmmse22,mmse22,MMSE item22: Write sentence,MMSE item22: Write sentence,
021,B,bmmse23,mmse23,MMSE item23: Drawing,MMSE item23: Drawing,
021,C,cmemory1,memory1,Problems with memory,Problems with memory,
021,C,cmemory2,memory2,Consulted doctor for memory problems,Consulted doctor for memory problems,
021,C,cmmse01,mmse01,MMSE item01: Year,MMSE item01: Year,
021,C,cmmse02,mmse02,MMSE item02: Season,MMSE item02: Season,
021,C,cmmse03,mmse03,MMSE item03: Date,MMSE item03: Date/day of month,
021,C,cmmse04,mmse04,MMSE item04: Day of the week,MMSE item04: Day of the week,
021,C,cmmse05,mmse05,MMSE item05: Month,MMSE item05: Month,
021,C,cmmse06,mmse06,MMSE item06: Province,MMSE item06: Province/country,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (province), MB (country)"
021,C,cmmse07,mmse07,MMSE item07: Municipality,MMSE item07: Municipality/city/village,
021,C,cmmse08,mmse08,MMSE item08: Two main streets,MMSE item08: Local-area orientation,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (two main streets), MB (district/neighbourhood)"
021,C,cmmse09,mmse09,MMSE item09: Floor,MMSE item09: Floor,
021,C,cmmse10,mmse10,MMSE item10: Address,MMSE item10: Address,
021,C,cmmse11,mmse11,MMSE item11: Three objects,MMSE item11: Three objects,
021,C,cmmse12,mmse12,MMSE item12: subtraction of 7,MMSE item12: Serial subtraction task,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (subtraction of 7), MB (subtraction of 3)"
021,C,cmmse13,mmse13,MMSE item13: Spelling backwards,MMSE item13: Reverse-order verbal task,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (spelling backwards), MB (days in reverse order/spelling backwards)"
021,C,cmmse14,mmse14,MMSE item14: Remembering three objects,MMSE item14: Remembering three objects,
021,C,cmmse15,mmse15,MMSE item15: Watch,MMSE item15: Watch,
021,C,cmmse16,mmse16,MMSE item16: Pencil,MMSE item16: Pencil,
021,C,cmmse17,mmse17,MMSE item17: Remember sentence,MMSE item17: Remember sentence,
021,C,cmmse18,mmse18,MMSE item18: close eyes,MMSE item18: close eyes,
021,C,cmmse19,mmse19,MMSE item19: paper (1): Right hand,MMSE item19: paper (1): Right hand,
021,C,cmmse20,mmse20,MMSE item20: paper (2): Folds,MMSE item20: paper (2): Folds,
021,C,cmmse21,mmse21,MMSE item21: paper (3): In lap,MMSE item21: paper (3): In lap,
021,C,cmmse22,mmse22,MMSE item22: Write sentence,MMSE item22: Write sentence,
021,C,cmmse23,mmse23,MMSE item23: Drawing,MMSE item23: Drawing,
021,D,dmemory1,memory1,Problems with memory,Problems with memory,
021,D,dmemory2,memory2,Consulted doctor for memory problems,Consulted doctor for memory problems,
021,D,dmmse01,mmse01,MMSE item01: Year,MMSE item01: Year,
021,D,dmmse02,mmse02,MMSE item02: Season,MMSE item02: Season,
021,D,dmmse03,mmse03,MMSE item03: Date,MMSE item03: Date/day of month,
021,D,dmmse04,mmse04,MMSE item04: Day of the week,MMSE item04: Day of the week,
021,D,dmmse05,mmse05,MMSE item05: Month,MMSE item05: Month,
021,D,dmmse06,mmse06,MMSE item06: Province,MMSE item06: Province/country,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (province), MB (country)"
021,D,dmmse07,mmse07,MMSE item07: Municipality,MMSE item07: Municipality/city/village,
021,D,dmmse08,mmse08,MMSE item08: Two main streets,MMSE item08: Local-area orientation,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (two main streets), MB (district/neighbourhood)"
021,D,dmmse09,mmse09,MMSE item09: Floor,MMSE item09: Floor,
021,D,dmmse10,mmse10,MMSE item10: Address,MMSE item10: Address,
021,D,dmmse11,mmse11,MMSE item11: Three objects,MMSE item11: Three objects,
021,D,dmmse12,mmse12,MMSE item12: subtraction of 7,MMSE item12: Serial subtraction task,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (subtraction of 7), MB (subtraction of 3)"
021,D,dmmse13,mmse13,MMSE item13: Spelling backwards,MMSE item13: Reverse-order verbal task,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (spelling backwards), MB (days in reverse order/spelling backwards)"
021,D,dmmse14,mmse14,MMSE item14: Remembering three objects,MMSE item14: Remembering three objects,
021,D,dmmse15,mmse15,MMSE item15: Watch,MMSE item15: Watch,
021,D,dmmse16,mmse16,MMSE item16: Pencil,MMSE item16: Pencil,
021,D,dmmse17,mmse17,MMSE item17: Remember sentence,MMSE item17: Remember sentence,
021,D,dmmse18,mmse18,MMSE item18: close eyes,MMSE item18: close eyes,
021,D,dmmse19,mmse19,MMSE item19: paper (1): Right hand,MMSE item19: paper (1): Right hand,
021,D,dmmse20,mmse20,MMSE item20: paper (2): Folds,MMSE item20: paper (2): Folds,
021,D,dmmse21,mmse21,MMSE item21: paper (3): In lap,MMSE item21: paper (3): In lap,
021,D,dmmse22,mmse22,MMSE item22: Write sentence,MMSE item22: Write sentence,
021,D,dmmse23,mmse23,MMSE item23: Drawing,MMSE item23: Drawing,
021,E,ememory1,memory1,Problems with memory,Problems with memory,
021,E,ememory2,memory2,Consulted doctor for memory problems,Consulted doctor for memory problems,
021,E,emmse01,mmse01,MMSE item01: Year,MMSE item01: Year,
021,E,emmse02,mmse02,MMSE item02: Season,MMSE item02: Season,
021,E,emmse03,mmse03,MMSE item03: Date,MMSE item03: Date/day of month,
021,E,emmse04,mmse04,MMSE item04: Day of the week,MMSE item04: Day of the week,
021,E,emmse05,mmse05,MMSE item05: Month,MMSE item05: Month,
021,E,emmse06,mmse06,MMSE item06: Province,MMSE item06: Province/country,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (province), MB (country)"
021,E,emmse07,mmse07,MMSE item07: Municipality,MMSE item07: Municipality/city/village,
021,E,emmse08,mmse08,MMSE item08: Two main streets,MMSE item08: Local-area orientation,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (two main streets), MB (district/neighbourhood)"
021,E,emmse09,mmse09,MMSE item09: Floor,MMSE item09: Floor,
021,E,emmse10,mmse10,MMSE item10: Address,MMSE item10: Address,
021,E,emmse11,mmse11,MMSE item11: Three objects,MMSE item11: Three objects,
021,E,emmse12,mmse12,MMSE item12: subtraction of 7,MMSE item12: Serial subtraction task,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (subtraction of 7), MB (subtraction of 3)"
021,E,emmse13,mmse13,MMSE item13: Spelling backwards,MMSE item13: Reverse-order verbal task,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (spelling backwards), MB (days in reverse order/spelling backwards)"
021,E,emmse14,mmse14,MMSE item14: Remembering three objects,MMSE item14: Remembering three objects,
021,E,emmse15,mmse15,MMSE item15: Watch,MMSE item15: Watch,
021,E,emmse16,mmse16,MMSE item16: Pencil,MMSE item16: Pencil,
021,E,emmse17,mmse17,MMSE item17: Remember sentence,MMSE item17: Remember sentence,
021,E,emmse18,mmse18,MMSE item18: close eyes,MMSE item18: close eyes,
021,E,emmse19,mmse19,MMSE item19: paper (1): Right hand,MMSE item19: paper (1): Right hand,
021,E,emmse20,mmse20,MMSE item20: paper (2): Folds,MMSE item20: paper (2): Folds,
021,E,emmse21,mmse21,MMSE item21: paper (3): In lap,MMSE item21: paper (3): In lap,
021,E,emmse22,mmse22,MMSE item22: Write sentence,MMSE item22: Write sentence,
021,E,emmse23,mmse23,MMSE item23: Drawing,MMSE item23: Drawing,
021,2B,bmemory1,memory1,Problems with memory,Problems with memory,
021,2B,bmemory2,memory2,Consulted doctor for memory problems,Consulted doctor for memory problems,
021,2B,bmmse01,mmse01,MMSE item01: Year,MMSE item01: Year,
021,2B,bmmse02,mmse02,MMSE item02: Season,MMSE item02: Season,
021,2B,bmmse03,mmse03,MMSE item03: Date,MMSE item03: Date/day of month,
021,2B,bmmse04,mmse04,MMSE item04: Day of the week,MMSE item04: Day of the week,
021,2B,bmmse05,mmse05,MMSE item05: Month,MMSE item05: Month,
021,2B,bmmse06,mmse06,MMSE item06: Province,MMSE item06: Province/country,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (province), MB (country)"
021,2B,bmmse07,mmse07,MMSE item07: Municipality,MMSE item07: Municipality/city/village,
021,2B,bmmse08,mmse08,MMSE item08: Two main streets,MMSE item08: Local-area orientation,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (two main streets), MB (district/neighbourhood)"
021,2B,bmmse09,mmse09,MMSE item09: Floor,MMSE item09: Floor,
021,2B,bmmse10,mmse10,MMSE item10: Address,MMSE item10: Address,
021,2B,bmmse11,mmse11,MMSE item11: Three objects,MMSE item11: Three objects,
021,2B,bmmse12,mmse12,MMSE item12: subtraction of 7,MMSE item12: Serial subtraction task,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (subtraction of 7), MB (subtraction of 3)"
021,2B,bmmse13,mmse13,MMSE item13: Spelling backwards,MMSE item13: Reverse-order verbal task,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (spelling backwards), MB (days in reverse order/spelling backwards)"
021,2B,bmmse14,mmse14,MMSE item14: Remembering three objects,MMSE item14: Remembering three objects,
021,2B,bmmse15,mmse15,MMSE item15: Watch,MMSE item15: Watch,
021,2B,bmmse16,mmse16,MMSE item16: Pencil,MMSE item16: Pencil,
021,2B,bmmse17,mmse17,MMSE item17: Remember sentence,MMSE item17: Remember sentence,
021,2B,bmmse18,mmse18,MMSE item18: close eyes,MMSE item18: close eyes,
021,2B,bmmse19,mmse19,MMSE item19: paper (1): Right hand,MMSE item19: paper (1): Right hand,
021,2B,bmmse20,mmse20,MMSE item20: paper (2): Folds,MMSE item20: paper (2): Folds,
021,2B,bmmse21,mmse21,MMSE item21: paper (3): In lap,MMSE item21: paper (3): In lap,
021,2B,bmmse22,mmse22,MMSE item22: Write sentence,MMSE item22: Write sentence,
021,2B,bmmse23,mmse23,MMSE item23: Drawing,MMSE item23: Drawing,
021,F,fmemory1,memory1,Problems with memory,Problems with memory,
021,F,fmemory2,memory2,Consulted doctor for memory problems,Consulted doctor for memory problems,
021,F,fmmse01,mmse01,MMSE item01: Year,MMSE item01: Year,
021,F,fmmse02,mmse02,MMSE item02: Season,MMSE item02: Season,
021,F,fmmse03,mmse03,MMSE item03: Date,MMSE item03: Date/day of month,
021,F,fmmse04,mmse04,MMSE item04: Day of the week,MMSE item04: Day of the week,
021,F,fmmse05,mmse05,MMSE item05: Month,MMSE item05: Month,
021,F,fmmse06,mmse06,MMSE item06: Province,MMSE item06: Province/country,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (province), MB (country)"
021,F,fmmse07,mmse07,MMSE item07: Municipality,MMSE item07: Municipality/city/village,
021,F,fmmse08,mmse08,MMSE item08: Two main streets,MMSE item08: Local-area orientation,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (two main streets), MB (district/neighbourhood)"
021,F,fmmse09,mmse09,MMSE item09: Floor,MMSE item09: Floor,
021,F,fmmse10,mmse10,MMSE item10: Address,MMSE item10: Address,
021,F,fmmse11,mmse11,MMSE item11: Three objects,MMSE item11: Three objects,
021,F,fmmse12,mmse12,MMSE item12: subtraction of 7,MMSE item12: Serial subtraction task,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (subtraction of 7), MB (subtraction of 3)"
021,F,fmmse13,mmse13,MMSE item13: Spelling backwards,MMSE item13: Reverse-order verbal task,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (spelling backwards), MB (days in reverse order/spelling backwards)"
021,F,fmmse14,mmse14,MMSE item14: Remembering three objects,MMSE item14: Remembering three objects,
021,F,fmmse15,mmse15,MMSE item15: Watch,MMSE item15: Watch,
021,F,fmmse16,mmse16,MMSE item16: Pencil,MMSE item16: Pencil,
021,F,fmmse17,mmse17,MMSE item17: Remember sentence,MMSE item17: Remember sentence,
021,F,fmmse18,mmse18,MMSE item18: close eyes,MMSE item18: close eyes,
021,F,fmmse19,mmse19,MMSE item19: paper (1): Right hand,MMSE item19: paper (1): Right hand,
021,F,fmmse20,mmse20,MMSE item20: paper (2): Folds,MMSE item20: paper (2): Folds,
021,F,fmmse21,mmse21,MMSE item21: paper (3): In lap,MMSE item21: paper (3): In lap,
021,F,fmmse22,mmse22,MMSE item22: Write sentence,MMSE item22: Write sentence,
021,F,fmmse23,mmse23,MMSE item23: Drawing,MMSE item23: Drawing,
021,G,gmemory1,memory1,Problems with memory,Problems with memory,
021,G,gmemory2,memory2,Consulted doctor for memory problems,Consulted doctor for memory problems,
021,G,gmmse01,mmse01,MMSE item01: Year,MMSE item01: Year,
021,G,gmmse02,mmse02,MMSE item02: Season,MMSE item02: Season,
021,G,gmmse03,mmse03,MMSE item03: Date,MMSE item03: Date/day of month,
021,G,gmmse04,mmse04,MMSE item04: Day of the week,MMSE item04: Day of the week,
021,G,gmmse05,mmse05,MMSE item05: Month,MMSE item05: Month,
021,G,gmmse06,mmse06,MMSE item06: Province,MMSE item06: Province/country,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (province), MB (country)"
021,G,gmmse07,mmse07,MMSE item07: Municipality,MMSE item07: Municipality/city/village,
021,G,gmmse08,mmse08,MMSE item08: Two main streets,MMSE item08: Local-area orientation,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (two main streets), MB (district/neighbourhood)"
021,G,gmmse09,mmse09,MMSE item09: Floor,MMSE item09: Floor,
021,G,gmmse10,mmse10,MMSE item10: Address,MMSE item10: Address,
021,G,gmmse11,mmse11,MMSE item11: Three objects,MMSE item11: Three objects,
021,G,gmmse12,mmse12,MMSE item12: subtraction of 7,MMSE item12: Serial subtraction task,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (subtraction of 7), MB (subtraction of 3)"
021,G,gmmse13,mmse13,MMSE item13: Spelling backwards,MMSE item13: Reverse-order verbal task,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (spelling backwards), MB (days in reverse order/spelling backwards)"
021,G,gmmse14,mmse14,MMSE item14: Remembering three objects,MMSE item14: Remembering three objects,
021,G,gmmse15,mmse15,MMSE item15: Watch,MMSE item15: Watch,
021,G,gmmse16,mmse16,MMSE item16: Pencil,MMSE item16: Pencil,
021,G,gmmse17,mmse17,MMSE item17: Remember sentence,MMSE item17: Remember sentence,
021,G,gmmse18,mmse18,MMSE item18: close eyes,MMSE item18: close eyes,
021,G,gmmse19,mmse19,MMSE item19: paper (1): Right hand,MMSE item19: paper (1): Right hand,
021,G,gmmse20,mmse20,MMSE item20: paper (2): Folds,MMSE item20: paper (2): Folds,
021,G,gmmse21,mmse21,MMSE item21: paper (3): In lap,MMSE item21: paper (3): In lap,
021,G,gmmse22,mmse22,MMSE item22: Write sentence,MMSE item22: Write sentence,
021,G,gmmse23,mmse23,MMSE item23: Drawing,MMSE item23: Drawing,
021,H,hmemory1,memory1,Problems with memory,Problems with memory,
021,H,hmemory2,memory2,Consulted doctor for memory problems,Consulted doctor for memory problems,
021,H,hmmse01,mmse01,MMSE item01: Year,MMSE item01: Year,
021,H,hmmse02,mmse02,MMSE item02: Season,MMSE item02: Season,
021,H,hmmse03,mmse03,MMSE item03: Date,MMSE item03: Date/day of month,
021,H,hmmse04,mmse04,MMSE item04: Day of the week,MMSE item04: Day of the week,
021,H,hmmse05,mmse05,MMSE item05: Month,MMSE item05: Month,
021,H,hmmse06,mmse06,MMSE item06: Province,MMSE item06: Province/country,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (province), MB (country)"
021,H,hmmse07,mmse07,MMSE item07: Municipality,MMSE item07: Municipality/city/village,
021,H,hmmse08,mmse08,MMSE item08: Two main streets,MMSE item08: Local-area orientation,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (two main streets), MB (district/neighbourhood)"
021,H,hmmse09,mmse09,MMSE item09: Floor,MMSE item09: Floor,
021,H,hmmse10,mmse10,MMSE item10: Address,MMSE item10: Address,
021,H,hmmse11,mmse11,MMSE item11: Three objects,MMSE item11: Three objects,
021,H,hmmse12,mmse12,MMSE item12: subtraction of 7,MMSE item12: Serial subtraction task,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (subtraction of 7), MB (subtraction of 3)"
021,H,hmmse13,mmse13,MMSE item13: Spelling backwards,MMSE item13: Reverse-order verbal task,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (spelling backwards), MB (days in reverse order/spelling backwards)"
021,H,hmmse14,mmse14,MMSE item14: Remembering three objects,MMSE item14: Remembering three objects,
021,H,hmmse15,mmse15,MMSE item15: Watch,MMSE item15: Watch,
021,H,hmmse16,mmse16,MMSE item16: Pencil,MMSE item16: Pencil,
021,H,hmmse17,mmse17,MMSE item17: Remember sentence,MMSE item17: Remember sentence,
021,H,hmmse18,mmse18,MMSE item18: close eyes,MMSE item18: close eyes,
021,H,hmmse19,mmse19,MMSE item19: paper (1): Right hand,MMSE item19: paper (1): Right hand,
021,H,hmmse20,mmse20,MMSE item20: paper (2): Folds,MMSE item20: paper (2): Folds,
021,H,hmmse21,mmse21,MMSE item21: paper (3): In lap,MMSE item21: paper (3): In lap,
021,H,hmmse22,mmse22,MMSE item22: Write sentence,MMSE item22: Write sentence,
021,H,hmmse23,mmse23,MMSE item23: Drawing,MMSE item23: Drawing,
021,3B,bmemory1,memory1,Problems with memory,Problems with memory,
021,3B,bmemory2,memory2,Consulted doctor for memory problems,Consulted doctor for memory problems,
021,3B,bmmse01,mmse01,MMSE item01: Year,MMSE item01: Year,
021,3B,bmmse02,mmse02,MMSE item02: Season,MMSE item02: Season,
021,3B,bmmse03,mmse03,MMSE item03: Date,MMSE item03: Date/day of month,
021,3B,bmmse04,mmse04,MMSE item04: Day of the week,MMSE item04: Day of the week,
021,3B,bmmse05,mmse05,MMSE item05: Month,MMSE item05: Month,
021,3B,bmmse06,mmse06,MMSE item06: Province,MMSE item06: Province/country,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (province), MB (country)"
021,3B,bmmse07,mmse07,MMSE item07: Municipality,MMSE item07: Municipality/city/village,
021,3B,bmmse08,mmse08,MMSE item08: Two main streets,MMSE item08: Local-area orientation,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (two main streets), MB (district/neighbourhood)"
021,3B,bmmse09,mmse09,MMSE item09: Floor,MMSE item09: Floor,
021,3B,bmmse10,mmse10,MMSE item10: Address,MMSE item10: Address,
021,3B,bmmse11,mmse11,MMSE item11: Three objects,MMSE item11: Three objects,
021,3B,bmmse12,mmse12,MMSE item12: subtraction of 7,MMSE item12: Serial subtraction task,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (subtraction of 7), MB (subtraction of 3)"
021,3B,bmmse13,mmse13,MMSE item13: Spelling backwards,MMSE item13: Reverse-order verbal task,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (spelling backwards), MB (days in reverse order/spelling backwards)"
021,3B,bmmse14,mmse14,MMSE item14: Remembering three objects,MMSE item14: Remembering three objects,
021,3B,bmmse15,mmse15,MMSE item15: Watch,MMSE item15: Watch,
021,3B,bmmse16,mmse16,MMSE item16: Pencil,MMSE item16: Pencil,
021,3B,bmmse17,mmse17,MMSE item17: Remember sentence,MMSE item17: Remember sentence,
021,3B,bmmse18,mmse18,MMSE item18: close eyes,MMSE item18: close eyes,
021,3B,bmmse19,mmse19,MMSE item19: paper (1): Right hand,MMSE item19: paper (1): Right hand,
021,3B,bmmse20,mmse20,MMSE item20: paper (2): Folds,MMSE item20: paper (2): Folds,
021,3B,bmmse21,mmse21,MMSE item21: paper (3): In lap,MMSE item21: paper (3): In lap,
021,3B,bmmse22,mmse22,MMSE item22: Write sentence,MMSE item22: Write sentence,
021,3B,bmmse23,mmse23,MMSE item23: Drawing,MMSE item23: Drawing,
021,I,imemory1,memory1,Problems with memory,Problems with memory,
021,I,imemory2,memory2,Consulted doctor for memory problems,Consulted doctor for memory problems,
021,I,immse01,mmse01,MMSE item01: Year,MMSE item01: Year,
021,I,immse02,mmse02,MMSE item02: Season,MMSE item02: Season,
021,I,immse03,mmse03,MMSE item03: Date,MMSE item03: Date/day of month,
021,I,immse04,mmse04,MMSE item04: Day of the week,MMSE item04: Day of the week,
021,I,immse05,mmse05,MMSE item05: Month,MMSE item05: Month,
021,I,immse06,mmse06,MMSE item06: Province,MMSE item06: Province/country,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (province), MB (country)"
021,I,immse07,mmse07,MMSE item07: Municipality,MMSE item07: Municipality/city/village,
021,I,immse08,mmse08,MMSE item08: Two main streets,MMSE item08: Local-area orientation,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (two main streets), MB (district/neighbourhood)"
021,I,immse09,mmse09,MMSE item09: Floor,MMSE item09: Floor,
021,I,immse10,mmse10,MMSE item10: Address,MMSE item10: Address,
021,I,immse11,mmse11,MMSE item11: Three objects,MMSE item11: Three objects,
021,I,immse12,mmse12,MMSE item12: subtraction of 7,MMSE item12: Serial subtraction task,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (subtraction of 7), MB (subtraction of 3)"
021,I,immse13,mmse13,MMSE item13: Spelling backwards,MMSE item13: Reverse-order verbal task,"Cross-wave variable-label conflict: B/C/D/E/2B/F/G/H/3B/I/J/K (spelling backwards), MB (days in reverse order/spelling backwards)"
021,I,immse14,mmse14,MMSE item14: Remembering three objects,MMSE item14: Remembering three objects,
021,I,immse15,mmse15,MMSE item15: Watch,MMSE item15: Watch,
021,I,immse16,mmse16,MMSE item16: Pencil,MMSE item16: Pencil,
021,I,immse17,mmse17,MMSE item17: Remember sentence,MMSE item17: Remember sentence,
021,I,immse18,mmse18,MMSE item18: close eyes,MMSE item18: close eyes,
021,I,immse19,mmse19,MMSE item19: paper (1): Right hand,MMSE item19: paper (1): Right hand,
021,I,immse20,mmse20,MMSE item20: paper (2): Folds,MMSE item20: paper (2): Folds,
021,I,immse21,mmse21,MMSE item21: paper (3): In lap,MMSE item21: paper (3): In lap,
021,I,immse22,mmse22,MMSE item22: Write sentence,MMSE item22: Write sentence,
021,I,immse23,mmse23,MMSE item23: Drawing,MMSE item23: Drawing,
021,J,jmemory1,memory1,Problems with memory,Problems with memory,
021,J,jmemory2,memory2,Consulted doctor for memory problems,Consulted doctor for memory problems,
021,J,jmmse01,mmse01,MMSE item01: Year,MMSE item01: Year,
021,J,jmmse02,mmse02,MMSE item02: Season,MMSE item02: Season,
021,J,jmmse03,mmse03,MMSE item03: Date,MMSE item03: Date/day of month,
021,J,jmmse04,mmse04,MMSE item04: Day of the week,MMSE item04: Day of the week,
021,J,jmmse05,mmse05,MMSE item05: Month,MMSE item05: Month,
