filecode,wave,canonical_name,variable_type,value_raw,value_numeric,value_label,is_missing,conflicts
070,B,socpyn,binary,interview broken off(-5),-5,interview broken off,TRUE,
070,B,socpyn,binary,"no answer, short version(-4)",-4,"no answer, short version",TRUE,
070,B,socpyn,binary,"no answer, wrong skip(-3)",-3,"no answer, wrong skip",TRUE,
070,B,socpyn,binary,"no answer, routing(-2)",-2,"no answer, routing",TRUE,
070,B,socpyn,binary,"no answer, asked(-1)",-1,"no answer, asked",TRUE,
070,B,socpyn,binary,no(1),1,no,FALSE,
070,B,socpyn,binary,yes(2),2,yes,FALSE,
070,B,socp01,binary,see bsocpyn -> interview broken off(-5),-5,interview broken off,TRUE,
070,B,socp01,binary,"see bsocpyn -> no answer, short version(-4)",-4,"no answer, short version",TRUE,
070,B,socp01,binary,"see bsocpyn -> no answer, wrong skip(-3)",-3,"no answer, wrong skip",TRUE,
070,B,socp01,binary,"see bsocpyn -> no answer, routing(-2)",-2,"no answer, routing",TRUE,
070,B,socp01,binary,"see bsocpyn -> no answer, asked(-1)",-1,"no answer, asked",TRUE,
070,B,socp01,binary,see bsocpyn -> no(1),1,no,FALSE,
070,B,socp01,binary,see bsocpyn -> yes(2),2,yes,FALSE,
070,B,socp02,binary,see bsocpyn -> interview broken off(-5),-5,interview broken off,TRUE,
070,B,socp02,binary,"see bsocpyn -> no answer, short version(-4)",-4,"no answer, short version",TRUE,
070,B,socp02,binary,"see bsocpyn -> no answer, wrong skip(-3)",-3,"no answer, wrong skip",TRUE,
070,B,socp02,binary,"see bsocpyn -> no answer, routing(-2)",-2,"no answer, routing",TRUE,
070,B,socp02,binary,"see bsocpyn -> no answer, asked(-1)",-1,"no answer, asked",TRUE,
070,B,socp02,binary,see bsocpyn -> no(1),1,no,FALSE,
070,B,socp02,binary,see bsocpyn -> yes(2),2,yes,FALSE,
070,B,socp03,binary,see bsocpyn -> interview broken off(-5),-5,interview broken off,TRUE,
070,B,socp03,binary,"see bsocpyn -> no answer, short version(-4)",-4,"no answer, short version",TRUE,
070,B,socp03,binary,"see bsocpyn -> no answer, wrong skip(-3)",-3,"no answer, wrong skip",TRUE,
070,B,socp03,binary,"see bsocpyn -> no answer, routing(-2)",-2,"no answer, routing",TRUE,
070,B,socp03,binary,"see bsocpyn -> no answer, asked(-1)",-1,"no answer, asked",TRUE,
070,B,socp03,binary,see bsocpyn -> no(1),1,no,FALSE,
070,B,socp03,binary,see bsocpyn -> yes(2),2,yes,FALSE,
070,B,socp04,binary,see bsocpyn -> interview broken off(-5),-5,interview broken off,TRUE,
070,B,socp04,binary,"see bsocpyn -> no answer, short version(-4)",-4,"no answer, short version",TRUE,
070,B,socp04,binary,"see bsocpyn -> no answer, wrong skip(-3)",-3,"no answer, wrong skip",TRUE,
070,B,socp04,binary,"see bsocpyn -> no answer, routing(-2)",-2,"no answer, routing",TRUE,
070,B,socp04,binary,"see bsocpyn -> no answer, asked(-1)",-1,"no answer, asked",TRUE,
070,B,socp04,binary,see bsocpyn -> no(1),1,no,FALSE,
070,B,socp04,binary,see bsocpyn -> yes(2),2,yes,FALSE,
070,B,socp05,binary,see bsocpyn -> interview broken off(-5),-5,interview broken off,TRUE,
070,B,socp05,binary,"see bsocpyn -> no answer, short version(-4)",-4,"no answer, short version",TRUE,
070,B,socp05,binary,"see bsocpyn -> no answer, wrong skip(-3)",-3,"no answer, wrong skip",TRUE,
070,B,socp05,binary,"see bsocpyn -> no answer, routing(-2)",-2,"no answer, routing",TRUE,
070,B,socp05,binary,"see bsocpyn -> no answer, asked(-1)",-1,"no answer, asked",TRUE,
070,B,socp05,binary,see bsocpyn -> no(1),1,no,FALSE,
070,B,socp05,binary,see bsocpyn -> yes(2),2,yes,FALSE,
