filecode,wave,canonical_name,variable_type,value_raw,value_numeric,value_label,is_missing,conflicts
134,E,qbwght,numeric,no answer(-1),-1,no answer,TRUE,
134,2B,qbwght,numeric,no answer(-1),-1,no answer,TRUE,
134,3B,qbwght,numeric,no answer(-1),-1,no answer,TRUE,
134,E,qbwghts,categorical,no answer(-1),-1,no answer,TRUE,
134,E,qbwghts,categorical,checked in documentation(1),1,checked in documentation,FALSE,
134,E,qbwghts,categorical,known without check(2),2,known without check,FALSE,
134,E,qbwghts,categorical,estimation(3),3,estimation,FALSE,
134,2B,qbwghts,categorical,no answer(-1),-1,no answer,TRUE,
134,2B,qbwghts,categorical,checked in documentation(1),1,checked in documentation,FALSE,
134,2B,qbwghts,categorical,known without check(2),2,known without check,FALSE,
134,2B,qbwghts,categorical,estimation(3),3,estimation,FALSE,
134,3B,qbwghts,categorical,no answer(-1),-1,no answer,TRUE,
134,3B,qbwghts,categorical,checked in documentation(1),1,checked in documentation,FALSE,
134,3B,qbwghts,categorical,known without check(2),2,known without check,FALSE,
134,3B,qbwghts,categorical,estimation(3),3,estimation,FALSE,
134,3B,qbwghtw,categorical,no answer(-1),-1,no answer,TRUE,
134,3B,qbwghtw,categorical,birth certificate(1),1,birth certificate,FALSE,
134,3B,qbwghtw,categorical,birth announcement card(2),2,birth announcement card,FALSE,
134,3B,qbwghtw,categorical,baby book(3),3,baby book,FALSE,
134,3B,qbwghtw,categorical,other(4),4,other,FALSE,
134,Z,qbwght,numeric,-1,-1,not available,TRUE,
134,Z,qbwghts,categorical,-1,-1,not available,TRUE,
134,Z,qbwghts,categorical,1,1,checked in documentation,FALSE,
134,Z,qbwghts,categorical,2,2,known without check,FALSE,
134,Z,qbwghts,categorical,3,3,estimation,FALSE,
134,Z,qbwghtw,categorical,-1,-1,not available,TRUE,
134,Z,qbwghtw,categorical,1,1,birth certificate,FALSE,
134,Z,qbwghtw,categorical,2,2,birth announcement card,FALSE,
134,Z,qbwghtw,categorical,3,3,baby book,FALSE,
134,Z,qbwghtw,categorical,4,4,other,FALSE,
