filecode,wave,variable_name,canonical_name,variable_label,harmonized_var_label,conflicts
mb008,MB,t2dat_,t2dat_,LASA main interview date (w1),LASA main interview date (w1),
mb008,MB,t2mdat_,t2mdat_,LASA medical interview date (w1),LASA medical interview date (w1),
mb008,MB,bage,age,Age at LASA main interview (w1),Age at LASA main interview (w1),
mb008,MB,bdays,days,Age at LASA main interview in days (w1),Age at LASA main interview in days (w1),
mb008,MB,bmage,mage,Age at LASA medical interview (w1),Age at LASA medical interview (w1),
mb008,MB,bmdays,mdays,Age at LASA medical interview in days (w1),Age at LASA medical interview in days (w1),
