filecode,wave,canonical_name,variable_type,value_raw,value_numeric,value_label,is_missing,conflicts
123,B,qdpq01,ordinal,no answer(-1),-1,no answer,TRUE,
123,B,qdpq01,ordinal,applicable(1),1,applicable,FALSE,
123,B,qdpq01,ordinal,?(2),2,?,FALSE,
123,B,qdpq01,ordinal,not applicable(3),3,not applicable,FALSE,
123,C,qdpq01,ordinal,no answer(-1),-1,no answer,TRUE,
123,C,qdpq01,ordinal,applicable(1),1,applicable,FALSE,
123,C,qdpq01,ordinal,?(2),2,?,FALSE,
123,C,qdpq01,ordinal,not applicable(3),3,not applicable,FALSE,
123,D,qdpq01,ordinal,no answer(-1),-1,no answer,TRUE,
123,D,qdpq01,ordinal,applicable(1),1,applicable,FALSE,
123,D,qdpq01,ordinal,?(2),2,?,FALSE,
123,D,qdpq01,ordinal,not applicable(3),3,not applicable,FALSE,
123,E,qdpq01,ordinal,no answer(-1),-1,no answer,TRUE,
123,E,qdpq01,ordinal,applicable(1),1,applicable,FALSE,
123,E,qdpq01,ordinal,?(2),2,?,FALSE,
123,E,qdpq01,ordinal,not applicable(3),3,not applicable,FALSE,
123,2B,qdpq01,ordinal,no answer(-1),-1,no answer,TRUE,
123,2B,qdpq01,ordinal,applicable(1),1,applicable,FALSE,
123,2B,qdpq01,ordinal,?(2),2,?,FALSE,
123,2B,qdpq01,ordinal,not applicable(3),3,not applicable,FALSE,
123,3B,qdpq01,ordinal,no answer(-1),-1,no answer,TRUE,
123,3B,qdpq01,ordinal,applicable(1),1,applicable,FALSE,
123,3B,qdpq01,ordinal,?(2),2,?,FALSE,
123,3B,qdpq01,ordinal,not applicable(3),3,not applicable,FALSE,
123,B,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> no answer(-1),-1,no answer,TRUE,
123,B,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> applicable(1),1,applicable,FALSE,
123,B,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> ?(2),2,?,FALSE,
123,B,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> not applicable(3),3,not applicable,FALSE,
123,C,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> no answer(-1),-1,no answer,TRUE,
123,C,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> applicable(1),1,applicable,FALSE,
123,C,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> ?(2),2,?,FALSE,
123,C,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> not applicable(3),3,not applicable,FALSE,
123,D,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> no answer(-1),-1,no answer,TRUE,
123,D,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> applicable(1),1,applicable,FALSE,
123,D,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> ?(2),2,?,FALSE,
123,D,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> not applicable(3),3,not applicable,FALSE,
123,E,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> no answer(-1),-1,no answer,TRUE,
123,E,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> applicable(1),1,applicable,FALSE,
123,E,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> ?(2),2,?,FALSE,
123,E,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> not applicable(3),3,not applicable,FALSE,
123,2B,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> no answer(-1),-1,no answer,TRUE,
123,2B,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> applicable(1),1,applicable,FALSE,
123,2B,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> ?(2),2,?,FALSE,
123,2B,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> not applicable(3),3,not applicable,FALSE,
123,3B,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> no answer(-1),-1,no answer,TRUE,
123,3B,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> applicable(1),1,applicable,FALSE,
123,3B,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> ?(2),2,?,FALSE,
123,3B,qdpq02,ordinal,see b/c/d/e/b/bqdpq01 -> not applicable(3),3,not applicable,FALSE,
123,B,qdpq03,ordinal,see b/c/d/e/b/bqdpq01 -> no answer(-1),-1,no answer,TRUE,
123,B,qdpq03,ordinal,see b/c/d/e/b/bqdpq01 -> applicable(1),1,applicable,FALSE,
123,B,qdpq03,ordinal,see b/c/d/e/b/bqdpq01 -> ?(2),2,?,FALSE,
123,B,qdpq03,ordinal,see b/c/d/e/b/bqdpq01 -> not applicable(3),3,not applicable,FALSE,
123,C,qdpq03,ordinal,see b/c/d/e/b/bqdpq01 -> no answer(-1),-1,no answer,TRUE,
123,C,qdpq03,ordinal,see b/c/d/e/b/bqdpq01 -> applicable(1),1,applicable,FALSE,
123,C,qdpq03,ordinal,see b/c/d/e/b/bqdpq01 -> ?(2),2,?,FALSE,
123,C,qdpq03,ordinal,see b/c/d/e/b/bqdpq01 -> not applicable(3),3,not applicable,FALSE,
123,D,qdpq03,ordinal,see b/c/d/e/b/bqdpq01 -> no answer(-1),-1,no answer,TRUE,
123,D,qdpq03,ordinal,see b/c/d/e/b/bqdpq01 -> applicable(1),1,applicable,FALSE,
123,D,qdpq03,ordinal,see b/c/d/e/b/bqdpq01 -> ?(2),2,?,FALSE,
123,D,qdpq03,ordinal,see b/c/d/e/b/bqdpq01 -> not applicable(3),3,not applicable,FALSE,
123,E,qdpq03,ordinal,see b/c/d/e/b/bqdpq01 -> no answer(-1),-1,no answer,TRUE,
123,E,qdpq03,ordinal,see b/c/d/e/b/bqdpq01 -> applicable(1),1,applicable,FALSE,
123,E,qdpq03,ordinal,see b/c/d/e/b/bqdpq01 -> ?(2),2,?,FALSE,
123,E,qdpq03,ordinal,see b/c/d/e/b/bqdpq01 -> not applicable(3),3,not applicable,FALSE,
123,2B,qdpq03,ordinal,see b/c/d/e/b/bqdpq01 -> no answer(-1),-1,no answer,TRUE,
123,2B,qdpq03,ordinal,see b/c/d/e/b/bqdpq01 -> applicable(1),1,applicable,FALSE,
123,2B,qdpq03,ordinal,see b/c/d/e/b/bqdpq01 -> ?(2),2,?,FALSE,
123,2B,qdpq03,ordinal,see b/c/d/e/b/bqdpq01 -> not applicable(3),3,not applicable,FALSE,
