filecode,wave,canonical_name,variable_type,value_raw,value_numeric,value_label,is_missing,conflicts
mb095,MB,urb,ordinal,no observation(-3),-3,no observation,TRUE,
mb095,Z,urb,ordinal,-3,-3,no observation,TRUE,
mb095,MB,urb,ordinal,abroad(-2),-2,abroad,TRUE,
mb095,Z,urb,ordinal,-2,-2,abroad,TRUE,
mb095,MB,urb,ordinal,unknown(-1),-1,unknown,TRUE,
mb095,Z,urb,ordinal,-1,-1,unknown,TRUE,
mb095,MB,urb,ordinal,not (<500)(1),1,not (<500),FALSE,
mb095,Z,urb,ordinal,1,1,not (<500),FALSE,
mb095,MB,urb,ordinal,little (500-1000)(2),2,little (500-1000),FALSE,
mb095,Z,urb,ordinal,2,2,little (500-1000),FALSE,
mb095,MB,urb,ordinal,somewhat (1000-1500)(3),3,somewhat (1000-1500),FALSE,
mb095,Z,urb,ordinal,3,3,somewhat (1000-1500),FALSE,
mb095,MB,urb,ordinal,highly (1500-2500)(4),4,highly (1500-2500),FALSE,
mb095,Z,urb,ordinal,4,4,highly (1500-2500),FALSE,
mb095,MB,urb,ordinal,very highly (>=2500)(5),5,very highly (>=2500),FALSE,
mb095,Z,urb,ordinal,5,5,very highly (>=2500),FALSE,
