filecode,wave,canonical_name,variable_type,value_raw,value_numeric,value_label,is_missing,conflicts
860,B,mbse,numeric,Oss regio(-2),-2,Oss regio,TRUE,
860,B,mbse,numeric,no valid data(-1),-1,no valid data,TRUE,
860,B,mhb,numeric,"Oss regio(-2,00)",-2,Oss regio,TRUE,
860,B,mhb,numeric,"no valid data(-1,00)",-1,no valid data,TRUE,
860,B,mht,numeric,"Oss regio(-2,00)",-2,Oss regio,TRUE,
860,B,mht,numeric,"no valid data(-1,00)",-1,no valid data,TRUE,
860,B,merytr,numeric,"Oss regio(-2,00)",-2,Oss regio,TRUE,
860,B,merytr,numeric,"no valid data(-1,00)",-1,no valid data,TRUE,
860,B,mleuc,numeric,"Oss regio(-2,0)",-2,Oss regio,TRUE,
860,B,mleuc,numeric,"no valid data(-1,0)",-1,no valid data,TRUE,
860,B,mmch,numeric,Oss regio(-2),-2,Oss regio,TRUE,
860,B,mmch,numeric,no valid data(-1),-1,no valid data,TRUE,
860,B,mmcv,numeric,Oss regio(-2),-2,Oss regio,TRUE,
860,B,mmcv,numeric,no valid data(-1),-1,no valid data,TRUE,
860,B,mmchc,numeric,Oss regio(-2),-2,Oss regio,TRUE,
860,B,mmchc,numeric,no valid data(-1),-1,no valid data,TRUE,
860,B,mcreati,numeric,Oss regio(-2),-2,Oss regio,TRUE,
860,B,mcreati,numeric,no valid data(-1),-1,no valid data,TRUE,
860,B,malbumi,numeric,Oss regio(-2),-2,Oss regio,TRUE,
860,B,malbumi,numeric,no valid data(-1),-1,no valid data,TRUE,
860,B,mtotcho,numeric,"Oss regio(-2,0)",-2,Oss regio,TRUE,
860,B,mtotcho,numeric,"no valid data(-1,0)",-1,no valid data,TRUE,
860,B,mhdlcho,numeric,"Oss regio(-2,0)",-2,Oss regio,TRUE,
860,B,mhdlcho,numeric,"no valid data(-1,0)",-1,no valid data,TRUE,
860,B,mferro,numeric,"Oss regio(-2,0)",-2,Oss regio,TRUE,
860,B,mferro,numeric,"no valid data(-1,0)",-1,no valid data,TRUE,
860,B,mvitb12,numeric,Oss regio(-2),-2,Oss regio,TRUE,
860,B,mvitb12,numeric,no valid data(-1),-1,no valid data,TRUE,
860,B,mfolu,numeric,"Oss regio(-2,0)",-2,Oss regio,TRUE,
860,B,mfolu,numeric,"no valid data(-1,0)",-1,no valid data,TRUE,
860,B,mtsh,numeric,"Oss regio(-2,00)",-2,Oss regio,TRUE,
860,B,mtsh,numeric,"no valid data(-1,00)",-1,no valid data,TRUE,
860,B,mcrp,numeric,Oss regio(-2),-2,Oss regio,TRUE,
860,B,mcrp,numeric,no valid data(-1),-1,no valid data,TRUE,
860,B,mcalciu,numeric,"Oss regio(-2,00)",-2,Oss regio,TRUE,
860,B,mcalciu,numeric,"no valid data(-1,00)",-1,no valid data,TRUE,
860,B,mureum,numeric,"Oss regio(-2,0)",-2,Oss regio,TRUE,
860,B,mureum,numeric,"no valid data(-1,0)",-1,no valid data,TRUE,
860,B,mtotpro,numeric,Oss regio(-2),-2,Oss regio,TRUE,
860,B,mtotpro,numeric,no valid data(-1),-1,no valid data,TRUE,
860,B,motasat,numeric,Oss regio(-2),-2,Oss regio,TRUE,
860,B,motasat,numeric,no valid data(-1),-1,no valid data,TRUE,
860,B,mptasat,numeric,Oss regio(-2),-2,Oss regio,TRUE,
860,B,mptasat,numeric,no valid data(-1),-1,no valid data,TRUE,
860,B,mgamma,numeric,Oss regio(-2),-2,Oss regio,TRUE,
860,B,mgamma,numeric,no valid data(-1),-1,no valid data,TRUE,
860,B,mglucos,numeric,"Oss regio(-2,0)",-2,Oss regio,TRUE,
860,B,mglucos,numeric,"no valid data(-1,0)",-1,no valid data,TRUE,
860,B,mtrigly,numeric,"Oss regio(-2,00)",-2,Oss regio,TRUE,
