filecode,wave,variable_name,canonical_name,variable_label,harmonized_var_label,conflicts
191,E,emvasR,mvasr,"Visual Acuity Score, number of letters read correctly (right eye)","Visual Acuity Score, number of letters read correctly (right eye)",
191,E,emacR,macr,number of lines read correctly (right eye),number of lines read correctly (right eye),
191,E,emvasRst,mvasrst,"Visual Acuity Score, number of letters read correctly (right eye pinhole)","Visual Acuity Score, number of letters read correctly (right eye pinhole)",
191,E,emacRst,macrst,number of lines read correctly (right eye pinhole),number of lines read correctly (right eye pinhole),
191,E,emvasL,mvasl,"Visual Acuity Score, number of letters read correctly (left eye)","Visual Acuity Score, number of letters read correctly (left eye)",
191,E,emacL,macl,number of lines read correctly (left eye),number of lines read correctly (left eye),
191,E,emvasLst,mvaslst,"Visual Acuity Score, number of letters read correctly (left eye pinhole)","Visual Acuity Score, number of letters read correctly (left eye pinhole)",
191,E,emacLst,maclst,number of lines read correctly (left eye pinhole),number of lines read correctly (left eye pinhole),
191,E,emRM191,mrm191,reason missing (partial) data,reason missing (partial) data,
191,E,emRM191_rem,mrm191_rem,remarks reason missing (partial) data,remarks reason missing (partial) data,
191,F,fmvasR,mvasr,"Visual Acuity Score, number of letters read correctly (right eye)","Visual Acuity Score, number of letters read correctly (right eye)",
191,F,fmvasRst,mvasrst,"Visual Acuity Score, number of letters read correctly (right eye pinhole)","Visual Acuity Score, number of letters read correctly (right eye pinhole)",
191,F,fmvasL,mvasl,"Visual Acuity Score, number of letters read correctly (left eye)","Visual Acuity Score, number of letters read correctly (left eye)",
191,F,fmvasLst,mvaslst,"Visual Acuity Score, number of letters read correctly (left eye pinhole)","Visual Acuity Score, number of letters read correctly (left eye pinhole)",
191,F,fmRM191,mrm191,reason missing (partial) data,reason missing (partial) data,
191,F,fmRM191_1,mrm191_1,reason missing: blind rightside,reason missing: blind rightside,
191,F,fmRM191_2,mrm191_2,reason missing: blind leftside,reason missing: blind leftside,
191,F,fmRM191_3,mrm191_3,reason missing: mentally unable,reason missing: mentally unable,
191,F,fmRM191_4,mrm191_4,reason missing: physically unable,reason missing: physically unable,
191,F,fmRM191_5,mrm191_5,reason missing: aphasia,reason missing: aphasia,
191,F,fmRM191_6,mrm191_6,reason missing: illiterate,reason missing: illiterate,
191,F,fmRM191_7,mrm191_7,reason missing: refused,reason missing: refused,
191,F,fmRM191_8,mrm191_8,reason missing: short interview,reason missing: short interview,
191,F,fmRM191_9,mrm191_9,reason missing: insufficient light,reason missing: insufficient light,
191,F,fmRM191_10,mrm191_10,reason missing: equipment failure,reason missing: equipment failure,
191,F,fmRM191s1,mrm191s1,specification reason missing: blind rightside,specification reason missing: blind rightside,
191,F,fmRM191s2,mrm191s2,specification reason missing: blind leftside,specification reason missing: blind leftside,
191,G,gmvasR,mvasr,"Visual Acuity Score, number of letters read correctly (right eye)","Visual Acuity Score, number of letters read correctly (right eye)",
191,G,gmvasRst,mvasrst,"Visual Acuity Score, number of letters read correctly (right eye pinhole)","Visual Acuity Score, number of letters read correctly (right eye pinhole)",
191,G,gmvasL,mvasl,"Visual Acuity Score, number of letters read correctly (left eye)","Visual Acuity Score, number of letters read correctly (left eye)",
191,G,gmvasLst,mvaslst,"Visual Acuity Score, number of letters read correctly (left eye pinhole)","Visual Acuity Score, number of letters read correctly (left eye pinhole)",
191,G,gmRM191,mrm191,reason missing (partial) data,reason missing (partial) data,
191,G,gmRM191_1,mrm191_1,reason missing: blind rightside,reason missing: blind rightside,
191,G,gmRM191_2,mrm191_2,reason missing: blind leftside,reason missing: blind leftside,
191,G,gmRM191_3,mrm191_3,reason missing: mentally unable,reason missing: mentally unable,
191,G,gmRM191_4,mrm191_4,reason missing: physically unable,reason missing: physically unable,
191,G,gmRM191_5,mrm191_5,reason missing: aphasia,reason missing: aphasia,
191,G,gmRM191_6,mrm191_6,reason missing: illiterate,reason missing: illiterate,
191,G,gmRM191_7,mrm191_7,reason missing: refused,reason missing: refused,
191,G,gmRM191_8,mrm191_8,reason missing: short interview,reason missing: short interview,
191,G,gmRM191_9,mrm191_9,reason missing: insufficient light,reason missing: insufficient light,
191,G,gmRM191_10,mrm191_10,reason missing: equipment failure,reason missing: equipment failure,
191,G,gmRM191s1,mrm191s1,specification reason missing: blind rightside,specification reason missing: blind rightside,
191,G,gmRM191s2,mrm191s2,specification reason missing: blind leftside,specification reason missing: blind leftside,
191,H,hmvasR,mvasr,"Visual Acuity Score, number of letters read correctly (right eye)","Visual Acuity Score, number of letters read correctly (right eye)",
191,H,hmacR,macr,number of lines read correctly (right eye),number of lines read correctly (right eye),
191,H,hmvasRst,mvasrst,"Visual Acuity Score, number of letters read correctly (right eye pinhole)","Visual Acuity Score, number of letters read correctly (right eye pinhole)",
191,H,hmacRst,macrst,number of lines read correctly (right eye pinhole),number of lines read correctly (right eye pinhole),
191,H,hmvasL,mvasl,"Visual Acuity Score, number of letters read correctly (left eye)","Visual Acuity Score, number of letters read correctly (left eye)",
191,H,hmacL,macl,number of lines read correctly (left eye),number of lines read correctly (left eye),
191,H,hmvasLst,mvaslst,"Visual Acuity Score, number of letters read correctly (left eye pinhole)","Visual Acuity Score, number of letters read correctly (left eye pinhole)",
191,H,hmacLst,maclst,number of lines read correctly (left eye pinhole),number of lines read correctly (left eye pinhole),
191,H,hmRM191_1,mrm191_1,reason missing: blind rightside,reason missing: blind rightside,
191,H,hmRM191_2,mrm191_2,reason missing: blind leftside,reason missing: blind leftside,
191,H,hmRM191_3,mrm191_3,reason missing: mentally unable,reason missing: mentally unable,
191,H,hmRM191_4,mrm191_4,reason missing: physically unable,reason missing: physically unable,
191,H,hmRM191_5,mrm191_5,reason missing: aphasia,reason missing: aphasia,
191,H,hmRM191_6,mrm191_6,reason missing: illiterate,reason missing: illiterate,
191,H,hmRM191_7,mrm191_7,reason missing: refused,reason missing: refused,
191,H,hmRM191_8,mrm191_8,reason missing: short interview,reason missing: short interview,
191,H,hmRM191_9,mrm191_9,reason missing: insufficient light,reason missing: insufficient light,
191,H,hmRM191_10,mrm191_10,reason missing: equipment failure,reason missing: equipment failure,
191,H,hmRM191s1,mrm191s1,specification reason missing: blind rightside,specification reason missing: blind rightside,
191,H,hmRM191s2,mrm191s2,specification reason missing: blind leftside,specification reason missing: blind leftside,
191,3B,bmvasR,mvasr,"Visual Acuity Score, number of letters read correctly (right eye)","Visual Acuity Score, number of letters read correctly (right eye)",
191,3B,bmacR,macr,number of lines read correctly (right eye),number of lines read correctly (right eye),
191,3B,bmvasRst,mvasrst,"Visual Acuity Score, number of letters read correctly (right eye pinhole)","Visual Acuity Score, number of letters read correctly (right eye pinhole)",
191,3B,bmacRst,macrst,number of lines read correctly (right eye pinhole),number of lines read correctly (right eye pinhole),
191,3B,bmvasL,mvasl,"Visual Acuity Score, number of letters read correctly (left eye)","Visual Acuity Score, number of letters read correctly (left eye)",
191,3B,bmacL,macl,number of lines read correctly (left eye),number of lines read correctly (left eye),
191,3B,bmvasLst,mvaslst,"Visual Acuity Score, number of letters read correctly (left eye pinhole)","Visual Acuity Score, number of letters read correctly (left eye pinhole)",
191,3B,bmacLst,maclst,number of lines read correctly (left eye pinhole),number of lines read correctly (left eye pinhole),
191,3B,bmRM191_1,mrm191_1,reason missing: blind rightside,reason missing: blind rightside,
191,3B,bmRM191_2,mrm191_2,reason missing: blind leftside,reason missing: blind leftside,
191,3B,bmRM191_3,mrm191_3,reason missing: mentally unable,reason missing: mentally unable,
191,3B,bmRM191_4,mrm191_4,reason missing: physically unable,reason missing: physically unable,
191,3B,bmRM191_5,mrm191_5,reason missing: aphasia,reason missing: aphasia,
191,3B,bmRM191_6,mrm191_6,reason missing: illiterate,reason missing: illiterate,
191,3B,bmRM191_7,mrm191_7,reason missing: refused,reason missing: refused,
191,3B,bmRM191_8,mrm191_8,reason missing: short interview,reason missing: short interview,
191,3B,bmRM191_9,mrm191_9,reason missing: insufficient light,reason missing: insufficient light,
191,3B,bmRM191_10,mrm191_10,reason missing: equipment failure,reason missing: equipment failure,
191,3B,bmRM191s1,mrm191s1,specification reason missing: blind rightside,specification reason missing: blind rightside,
191,3B,bmRM191s2,mrm191s2,specification reason missing: blind leftside,specification reason missing: blind leftside,
