filecode,wave,canonical_name,variable_type,value_raw,value_numeric,value_label,is_missing,conflicts
145,F,qcshape,ordinal,no valid data(-1),-1,no valid data,TRUE,
145,F,qcshape,ordinal,silhouette 1 (extremely thin)(1),1,silhouette 1 (extremely thin),FALSE,
145,F,qcshape,ordinal,silhouette 2(2),2,silhouette 2,FALSE,
145,F,qcshape,ordinal,silhouette 3(3),3,silhouette 3,FALSE,
145,F,qcshape,ordinal,silhouette 4(4),4,silhouette 4,FALSE,
145,F,qcshape,ordinal,silhouette 5(5),5,silhouette 5,FALSE,
145,F,qcshape,ordinal,silhouette 6(6),6,silhouette 6,FALSE,
145,F,qcshape,ordinal,silhouette 7(7),7,silhouette 7,FALSE,
145,F,qcshape,ordinal,silhouette 8(8),8,silhouette 8,FALSE,
145,F,qcshape,ordinal,silhouette 9 (very large)(9),9,silhouette 9 (very large),FALSE,
145,F,qishape,ordinal,no valid data(-1),-1,no valid data,TRUE,
145,F,qishape,ordinal,silhouette 1 (extremely thin)(1),1,silhouette 1 (extremely thin),FALSE,
145,F,qishape,ordinal,silhouette 2(2),2,silhouette 2,FALSE,
145,F,qishape,ordinal,silhouette 3(3),3,silhouette 3,FALSE,
145,F,qishape,ordinal,silhouette 4(4),4,silhouette 4,FALSE,
145,F,qishape,ordinal,silhouette 5(5),5,silhouette 5,FALSE,
145,F,qishape,ordinal,silhouette 6(6),6,silhouette 6,FALSE,
145,F,qishape,ordinal,silhouette 7(7),7,silhouette 7,FALSE,
145,F,qishape,ordinal,silhouette 8(8),8,silhouette 8,FALSE,
145,F,qishape,ordinal,silhouette 9 (very large)(9),9,silhouette 9 (very large),FALSE,
145,G,qcshape,ordinal,no valid data(-1),-1,no valid data,TRUE,
145,G,qcshape,ordinal,silhouette 1 (extremely thin)(1),1,silhouette 1 (extremely thin),FALSE,
145,G,qcshape,ordinal,silhouette 2(2),2,silhouette 2,FALSE,
145,G,qcshape,ordinal,silhouette 3(3),3,silhouette 3,FALSE,
145,G,qcshape,ordinal,silhouette 4(4),4,silhouette 4,FALSE,
145,G,qcshape,ordinal,silhouette 5(5),5,silhouette 5,FALSE,
145,G,qcshape,ordinal,silhouette 6(6),6,silhouette 6,FALSE,
145,G,qcshape,ordinal,silhouette 7(7),7,silhouette 7,FALSE,
145,G,qcshape,ordinal,silhouette 8(8),8,silhouette 8,FALSE,
145,G,qcshape,ordinal,silhouette 9 (very large)(9),9,silhouette 9 (very large),FALSE,
145,G,qishape,ordinal,no valid data(-1),-1,no valid data,TRUE,
145,G,qishape,ordinal,silhouette 1 (extremely thin)(1),1,silhouette 1 (extremely thin),FALSE,
145,G,qishape,ordinal,silhouette 2(2),2,silhouette 2,FALSE,
145,G,qishape,ordinal,silhouette 3(3),3,silhouette 3,FALSE,
145,G,qishape,ordinal,silhouette 4(4),4,silhouette 4,FALSE,
145,G,qishape,ordinal,silhouette 5(5),5,silhouette 5,FALSE,
145,G,qishape,ordinal,silhouette 6(6),6,silhouette 6,FALSE,
145,G,qishape,ordinal,silhouette 7(7),7,silhouette 7,FALSE,
145,G,qishape,ordinal,silhouette 8(8),8,silhouette 8,FALSE,
145,G,qishape,ordinal,silhouette 9 (very large)(9),9,silhouette 9 (very large),FALSE,
145,3B,qcshape,ordinal,no valid data(-1),-1,no valid data,TRUE,
145,3B,qcshape,ordinal,silhouette 1 (extremely thin)(1),1,silhouette 1 (extremely thin),FALSE,
145,3B,qcshape,ordinal,silhouette 2(2),2,silhouette 2,FALSE,
145,3B,qcshape,ordinal,silhouette 3(3),3,silhouette 3,FALSE,
145,3B,qcshape,ordinal,silhouette 4(4),4,silhouette 4,FALSE,
145,3B,qcshape,ordinal,silhouette 5(5),5,silhouette 5,FALSE,
145,3B,qcshape,ordinal,silhouette 6(6),6,silhouette 6,FALSE,
145,3B,qcshape,ordinal,silhouette 7(7),7,silhouette 7,FALSE,
145,3B,qcshape,ordinal,silhouette 8(8),8,silhouette 8,FALSE,
145,3B,qcshape,ordinal,silhouette 9 (very large)(9),9,silhouette 9 (very large),FALSE,
145,3B,qishape,ordinal,no valid data(-1),-1,no valid data,TRUE,
145,3B,qishape,ordinal,silhouette 1 (extremely thin)(1),1,silhouette 1 (extremely thin),FALSE,
145,3B,qishape,ordinal,silhouette 2(2),2,silhouette 2,FALSE,
145,3B,qishape,ordinal,silhouette 3(3),3,silhouette 3,FALSE,
145,3B,qishape,ordinal,silhouette 4(4),4,silhouette 4,FALSE,
145,3B,qishape,ordinal,silhouette 5(5),5,silhouette 5,FALSE,
145,3B,qishape,ordinal,silhouette 6(6),6,silhouette 6,FALSE,
145,3B,qishape,ordinal,silhouette 7(7),7,silhouette 7,FALSE,
145,3B,qishape,ordinal,silhouette 8(8),8,silhouette 8,FALSE,
145,3B,qishape,ordinal,silhouette 9 (very large)(9),9,silhouette 9 (very large),FALSE,
145,3B,qshap40,ordinal,no valid data(-1),-1,no valid data,TRUE,
145,3B,qshap40,ordinal,silhouette 1 (extremely thin)(1),1,silhouette 1 (extremely thin),FALSE,
145,3B,qshap40,ordinal,silhouette 2(2),2,silhouette 2,FALSE,
145,3B,qshap40,ordinal,silhouette 3(3),3,silhouette 3,FALSE,
145,3B,qshap40,ordinal,silhouette 4(4),4,silhouette 4,FALSE,
145,3B,qshap40,ordinal,silhouette 5(5),5,silhouette 5,FALSE,
145,3B,qshap40,ordinal,silhouette 6(6),6,silhouette 6,FALSE,
145,3B,qshap40,ordinal,silhouette 7(7),7,silhouette 7,FALSE,
145,3B,qshap40,ordinal,silhouette 8(8),8,silhouette 8,FALSE,
145,3B,qshap40,ordinal,silhouette 9 (very large)(9),9,silhouette 9 (very large),FALSE,
145,MB,mcshape,ordinal,no valid data(-1),-1,no valid data,TRUE,
145,MB,mcshape,ordinal,silhouette 1 (extremely thin)(1),1,silhouette 1 (extremely thin),FALSE,
145,MB,mcshape,ordinal,silhouette 2(2),2,silhouette 2,FALSE,
145,MB,mcshape,ordinal,silhouette 3(3),3,silhouette 3,FALSE,
145,MB,mcshape,ordinal,silhouette 4(4),4,silhouette 4,FALSE,
145,MB,mcshape,ordinal,silhouette 5(5),5,silhouette 5,FALSE,
145,MB,mcshape,ordinal,silhouette 6(6),6,silhouette 6,FALSE,
145,MB,mcshape,ordinal,silhouette 7(7),7,silhouette 7,FALSE,
145,MB,mcshape,ordinal,silhouette 8(8),8,silhouette 8,FALSE,
145,MB,mcshape,ordinal,silhouette 9 (very large)(9),9,silhouette 9 (very large),FALSE,
145,MB,mshap40,ordinal,no valid data(-1),-1,no valid data,TRUE,
145,MB,mshap40,ordinal,silhouette 1 (extremely thin)(1),1,silhouette 1 (extremely thin),FALSE,
145,MB,mshap40,ordinal,silhouette 2(2),2,silhouette 2,FALSE,
145,MB,mshap40,ordinal,silhouette 3(3),3,silhouette 3,FALSE,
145,MB,mshap40,ordinal,silhouette 4(4),4,silhouette 4,FALSE,
145,MB,mshap40,ordinal,silhouette 5(5),5,silhouette 5,FALSE,
145,MB,mshap40,ordinal,silhouette 6(6),6,silhouette 6,FALSE,
145,MB,mshap40,ordinal,silhouette 7(7),7,silhouette 7,FALSE,
145,MB,mshap40,ordinal,silhouette 8(8),8,silhouette 8,FALSE,
145,MB,mshap40,ordinal,silhouette 9 (very large)(9),9,silhouette 9 (very large),FALSE,
145,Z,qcshape,ordinal,,-1,not available,TRUE,
145,Z,qcshape,ordinal,,1,silhouette 1 (extremely thin),FALSE,
145,Z,qcshape,ordinal,,2,silhouette 2,FALSE,
145,Z,qcshape,ordinal,,3,silhouette 3,FALSE,
145,Z,qcshape,ordinal,,4,silhouette 4,FALSE,
145,Z,qcshape,ordinal,,5,silhouette 5,FALSE,
145,Z,qcshape,ordinal,,6,silhouette 6,FALSE,
145,Z,qcshape,ordinal,,7,silhouette 7,FALSE,
145,Z,qcshape,ordinal,,8,silhouette 8,FALSE,
145,Z,qcshape,ordinal,,9,silhouette 9 (very large),FALSE,
145,Z,qishape,ordinal,,-1,not available,TRUE,
145,Z,qishape,ordinal,,1,silhouette 1 (extremely thin),FALSE,
145,Z,qishape,ordinal,,2,silhouette 2,FALSE,
145,Z,qishape,ordinal,,3,silhouette 3,FALSE,
145,Z,qishape,ordinal,,4,silhouette 4,FALSE,
145,Z,qishape,ordinal,,5,silhouette 5,FALSE,
145,Z,qishape,ordinal,,6,silhouette 6,FALSE,
145,Z,qishape,ordinal,,7,silhouette 7,FALSE,
145,Z,qishape,ordinal,,8,silhouette 8,FALSE,
145,Z,qishape,ordinal,,9,silhouette 9 (very large),FALSE,
145,Z,qshap40,ordinal,,-1,not available,TRUE,
145,Z,qshap40,ordinal,,1,silhouette 1 (extremely thin),FALSE,
145,Z,qshap40,ordinal,,2,silhouette 2,FALSE,
145,Z,qshap40,ordinal,,3,silhouette 3,FALSE,
145,Z,qshap40,ordinal,,4,silhouette 4,FALSE,
145,Z,qshap40,ordinal,,5,silhouette 5,FALSE,
145,Z,qshap40,ordinal,,6,silhouette 6,FALSE,
145,Z,qshap40,ordinal,,7,silhouette 7,FALSE,
145,Z,qshap40,ordinal,,8,silhouette 8,FALSE,
145,Z,qshap40,ordinal,,9,silhouette 9 (very large),FALSE,
145,Z,mcshape,ordinal,,-1,not available,TRUE,
145,Z,mcshape,ordinal,,1,silhouette 1 (extremely thin),FALSE,
145,Z,mcshape,ordinal,,2,silhouette 2,FALSE,
145,Z,mcshape,ordinal,,3,silhouette 3,FALSE,
145,Z,mcshape,ordinal,,4,silhouette 4,FALSE,
145,Z,mcshape,ordinal,,5,silhouette 5,FALSE,
145,Z,mcshape,ordinal,,6,silhouette 6,FALSE,
145,Z,mcshape,ordinal,,7,silhouette 7,FALSE,
