filecode,wave,canonical_name,variable_type,value_raw,value_numeric,value_label,is_missing,conflicts
z992,B,zpc_i9,string,ICD10(-1),-1,ICD10,TRUE,
z992,B,zs1_i9,string,no first secondary cause of death(-2),-2,no first secondary cause of death,TRUE,
z992,B,zs1_i9,string,ICD10(-1),-1,ICD10,TRUE,
z992,B,zs2_i9,string,no second secondary cause of death(-2),-2,no second secondary cause of death,TRUE,
z992,B,zs2_i9,string,ICD10(-1),-1,ICD10,TRUE,
z992,B,zs3_i9,string,no third secondary cause of death(-2),-2,no third secondary cause of death,TRUE,
z992,B,zs3_i9,string,ICD10(-1),-1,ICD10,TRUE,
z992,B,zpc_i9c,categorical,cause unknown(-99),-99,cause unknown,TRUE,
z992,B,zpc_i9c,categorical,no other cause of death(-2),-2,no other cause of death,TRUE,
z992,B,zpc_i9c,categorical,ICD10(-1),-1,ICD10,TRUE,
z992,B,zpc_i9c,categorical,Infectious and parasitic diseases(1),1,Infectious and parasitic diseases,FALSE,
z992,B,zpc_i9c,categorical,Neoplasms(2),2,Neoplasms,FALSE,
z992,B,zpc_i9c,categorical,"Endocrine, nutritional and metabolic diseases, and immunity disorders(3)",3,"Endocrine, nutritional and metabolic diseases, and immunity disorders",FALSE,
z992,B,zpc_i9c,categorical,Diseases of the blood and blood-forming organs(4),4,Diseases of the blood and blood-forming organs,FALSE,
z992,B,zpc_i9c,categorical,Mental disorders(5),5,Mental disorders,FALSE,
z992,B,zpc_i9c,categorical,Diseases of the nervous system(6),6,Diseases of the nervous system,FALSE,
z992,B,zpc_i9c,categorical,Diseases of the sense organs(7),7,Diseases of the sense organs,FALSE,
z992,B,zpc_i9c,categorical,Diseases of the circulatory system(8),8,Diseases of the circulatory system,FALSE,
z992,B,zpc_i9c,categorical,Diseases of the respiratory system(9),9,Diseases of the respiratory system,FALSE,
z992,B,zpc_i9c,categorical,Diseases of the digestive system(10),10,Diseases of the digestive system,FALSE,
z992,B,zpc_i9c,categorical,Diseases of the genitourinary system(11),11,Diseases of the genitourinary system,FALSE,
z992,B,zpc_i9c,categorical,"Complications of pregnancy, childbirth, and the puerperium(12)",12,"Complications of pregnancy, childbirth, and the puerperium",FALSE,
z992,B,zpc_i9c,categorical,Diseases of the skin and subcutaneous tissue(13),13,Diseases of the skin and subcutaneous tissue,FALSE,
z992,B,zpc_i9c,categorical,Diseases of the musculoskeletal system and connective tissue(14),14,Diseases of the musculoskeletal system and connective tissue,FALSE,
z992,B,zpc_i9c,categorical,Congenital anomalies(15),15,Congenital anomalies,FALSE,
z992,B,zpc_i9c,categorical,Certain conditions originating in the perinatal period(16),16,Certain conditions originating in the perinatal period,FALSE,
z992,B,zpc_i9c,categorical,"Symptoms, signs, and ill-defined conditions(17)",17,"Symptoms, signs, and ill-defined conditions",FALSE,
z992,B,zpc_i9c,categorical,Injury and poisoning(18),18,Injury and poisoning,FALSE,
z992,B,zpc_i9c,categorical,External causes of injury and supplemental classification(19),19,External causes of injury and supplemental classification,FALSE,
z992,B,zs1_i9c,categorical,cause unknown(-99),-99,cause unknown,TRUE,
z992,B,zs1_i9c,categorical,no other cause of death(-2),-2,no other cause of death,TRUE,
z992,B,zs1_i9c,categorical,ICD10(-1),-1,ICD10,TRUE,
z992,B,zs1_i9c,categorical,Infectious and parasitic diseases(1),1,Infectious and parasitic diseases,FALSE,
z992,B,zs1_i9c,categorical,Neoplasms(2),2,Neoplasms,FALSE,
z992,B,zs1_i9c,categorical,"Endocrine, nutritional and metabolic diseases, and immunity disorders(3)",3,"Endocrine, nutritional and metabolic diseases, and immunity disorders",FALSE,
z992,B,zs1_i9c,categorical,Diseases of the blood and blood-forming organs(4),4,Diseases of the blood and blood-forming organs,FALSE,
z992,B,zs1_i9c,categorical,Mental disorders(5),5,Mental disorders,FALSE,
z992,B,zs1_i9c,categorical,Diseases of the nervous system(6),6,Diseases of the nervous system,FALSE,
z992,B,zs1_i9c,categorical,Diseases of the sense organs(7),7,Diseases of the sense organs,FALSE,
z992,B,zs1_i9c,categorical,Diseases of the circulatory system(8),8,Diseases of the circulatory system,FALSE,
z992,B,zs1_i9c,categorical,Diseases of the respiratory system(9),9,Diseases of the respiratory system,FALSE,
z992,B,zs1_i9c,categorical,Diseases of the digestive system(10),10,Diseases of the digestive system,FALSE,
