filecode,wave,variable_name,canonical_name,variable_label,harmonized_var_label,conflicts
174,I,imsup,msup,supplement use,supplement use,
174,I,im#sup,m#sup,number of supplements,number of supplements,
174,I,imsup1,msup1,sup. 1: type,supplement 1: type,
174,I,imsupname1,msupname1,sup. 1: name,supplement 1: name,
174,I,imsupdesc1,msupdesc1,sup. 1: description package (in Dutch),supplement 1: package description (in Dutch),
174,I,imsupquant1,msupquant1,sup. 1: quantity,supplement 1: quantity,
174,I,imsupmeas1,msupmeas1,sup. 1: measurement,supplement 1: measurement unit,
174,I,imsup#tp1,msup#tp1,sup. 1: # times a period,supplement 1: number of times per period,
174,I,imsupperiod1,msupperiod1,sup. 1: period,supplement 1: period,
174,I,imsupform1,msupform1,sup. 1: dosage form,supplement 1: dosage form,
174,I,imsupformoth1,msupformoth1,sup. 1: dosage form other (in Dutch),supplement 1: other dosage form (in Dutch),
174,I,imsupseas1,msupseas1,sup. 1: use in season,supplement 1: seasonal use,
174,I,imsupseasoth1,msupseasoth1,sup. 1: use in season other (in Dutch),supplement 1: other seasonal use (in Dutch),
174,J,jmDsup,mDsup,vitamin D supplement use,vitamin D supplement use,
174,J,jmDnsup,mDnsup,number of vitamin D supplements,number of vitamin D supplements,
174,J,jmDsupname1,mDsupname1,vit D 1: name,vitamin D supplement 1: name,
174,J,jmDsupbrand1,mDsupbrand1,vit D 1: brand,vitamin D supplement 1: brand,
174,J,jmDsupdesc1,mDsupdesc1,vit D 1: description package (in Dutch),vitamin D supplement 1: package description (in Dutch),
174,J,jmDsupquant1,mDsupquant1,vit D 1: quantity,vitamin D supplement 1: quantity,
174,J,jmDsupmeas1,mDsupmeas1,vit D 1: measurement,vitamin D supplement 1: measurement unit,
174,J,jmDsuptp1,mDsuptp1,vit D 1: times a period,vitamin D supplement 1: number of times per period,
174,J,jmDsupperiod1,mDsupperiod1,vit D 1: period,vitamin D supplement 1: period,
174,J,jmDsupseas1,mDsupseas1,vit D 1: use in season,vitamin D supplement 1: seasonal use,
174,J,jmDsupseasoth1,mDsupseasoth1,vit D 1: use in season other (in Dutch),vitamin D supplement 1: other seasonal use (in Dutch),
174,J,jmMVsup,mMVsup,multivitamin supplement use,multivitamin supplement use,
174,J,jmMVnsup,mMVnsup,number of multivitamin use,number of multivitamin supplements,
174,J,jmMVsupname1,mMVsupname1,multiv 1: name,multivitamin supplement 1: name,
174,J,jmMVsupbrand1,mMVsupbrand1,multiv 1: brand,multivitamin supplement 1: brand,
174,J,jmMVsupdesc1,mMVsupdesc1,multiv 1: description package (in Dutch),multivitamin supplement 1: package description (in Dutch),
174,J,jmMVsupquant1,mMVsupquant1,multiv 1: quantity,multivitamin supplement 1: quantity,
174,J,jmMVsupmeas1,mMVsupmeas1,multiv 1: measurement,multivitamin supplement 1: measurement unit,
174,J,jmMVsuptp1,mMVsuptp1,multiv 1: times a period,multivitamin supplement 1: number of times per period,
174,J,jmMVsupperiod1,mMVsupperiod1,multiv 1: period,multivitamin supplement 1: period,
174,J,jmMVsupseas1,mMVsupseas1,multiv 1: use in season,multivitamin supplement 1: seasonal use,
174,J,jmMVsupseasoth1,mMVsupseasoth1,multivit 1: use in season other (in Dutch),multivitamin supplement 1: other seasonal use (in Dutch),
